('rijgedrag', 0.4938440966516554)
('melding', 0.46335781209054255)
('slecht', 0.3030588509725468)
('geloofwaardig', 0.2247212689426894)
('opschorten', 0.19753763866066215)


('rat', 0.5026369600023368)
('overlast', 0.23383734434465636)
('ziekte', 0.20727967865108574)
('initiatiefgroep', 0.20105478400093474)
('ongedierte', 0.20105478400093474)


('arnhems', 0.3254004130094903)
('arnhem', 0.2244047238165068)
('koolstofblok', 0.1850897738318716)
('slijtage', 0.1850897738318716)
('trolleybus', 0.1850897738318716)


('uitstempelen', 0.4337834076338718)
('zeevarenden', 0.26027004458032305)
('schip', 0.24955582843019694)
('lastig', 0.1735133630535487)
('reparatiesector', 0.1735133630535487)


('startbeslissing', 0.33910384180729086)
('verbreding', 0.24385827891527967)
('aanpak', 0.22654280547842495)
('starten', 0.2239460553203644)
('gebrek', 0.1920485681837109)


('spoorloper', 0.5751969172905546)
('presidentdirecteur', 0.3451181503743327)
('machinist', 0.30337059239936637)
('uitspraak', 0.29777254146680515)
('prorail', 0.1303031470249304)


('douane', 0.6341348467767817)
('sirene', 0.380480908066069)
('zwaailicht', 0.33445565917484926)
('geluidssignaal', 0.2536539387107127)
('optisch', 0.2536539387107127)


('overvol', 0.3774022574249843)
('maa', 0.3317494205497189)
('frankfurt', 0.18870112871249214)
('groeimogelijkheid', 0.18870112871249214)
('inplaatsvangebruik', 0.18870112871249214)


('acn', 0.3290410449611513)
('overeenkomst', 0.3154958177965663)
('directeur', 0.24943549488643219)
('all', 0.21936069664076754)
('klm', 0.19681908831006512)


('hiswa', 0.2539839420978134)
('peilbesluit', 0.2539839420978134)
('watersport', 0.2539839420978134)
('ijsselmeer', 0.22326052365129534)
('spel', 0.19253710520477724)


('elektromagnetisch', 0.5246316417634126)
('gezondheidsraad', 0.23058452848769032)
('redelijkerwijs', 0.23058452848769032)
('straling', 0.23058452848769032)
('veld', 0.21202291233777248)


('werkloos', 0.4172867828650298)
('chroomverf', 0.31296508714877236)
('slachtoffer', 0.25296136929251867)
('tilburg', 0.2086433914325149)
('stof', 0.19557354548424474)


('dijksma', 0.4602374333348344)
('merberekening', 0.3068249555565563)
('staatsecretaris', 0.3068249555565563)
('uitlating', 0.3068249555565563)
('voormalig', 0.24799846397501632)


('piloot', 0.40135665434792317)
('damp', 0.26757110289861546)
('zembla', 0.20283709734967736)
('aerotoxisch', 0.20067832717396158)
('syndroom', 0.20067832717396158)


('ovchipkaart', 0.6410589760712854)
('genderneutraal', 0.36463832297122767)
('diegene', 0.18231916148561383)
('geslachtsvermelding', 0.18231916148561383)
('httpswwwvicecomnlarticle', 0.18231916148561383)


('bodemwaterkwaliteit', 0.2774980889892544)
('gezondheidsprobleem', 0.2774980889892544)
('warmenhuizen', 0.2774980889892544)
('bodem', 0.2489822548844877)
('bewoner', 0.22992353389367667)


('barrire', 0.3254022568636377)
('circulair', 0.29920799384940316)
('opweg', 0.2169348379090918)
('economie', 0.1910640916892467)
('grondstof', 0.1870819123147827)


('regeerakkoord', 0.2694681395364414)
('importverbod', 0.23169036041471378)
('voorstel', 0.21427195704161606)
('europees', 0.19443024405157153)
('emissieeis', 0.1872691658878956)


('belonen', 0.5180870701603814)
('schoon', 0.3194018930720406)
('project', 0.2307432785794071)
('deelnemen', 0.22203731578302058)
('toelichten', 0.15253452043259644)


('duits', 0.32775355098787023)
('incident', 0.27616188748630605)
('emsland', 0.2314882935230244)
('kerncentrale', 0.20192484379300574)
('anvs', 0.1754838733330323)


('nucleair', 0.40161058168710223)
('incident', 0.3539318977483017)
('irsn', 0.21191268792911144)
('kazachstaans', 0.21191268792911144)
('kazachstan', 0.21191268792911144)


('wunderline', 0.5778176106011542)
('spoorverbinding', 0.3466905663606925)
('niedersachsen', 0.3047527995326707)
('realisatie', 0.24931408732587326)
('bremen', 0.2311270442404617)


('kerncentrale', 0.29244763812937924)
('rampenplan', 0.2709852840863347)
('veiligheidsregios', 0.2410972131490808)
('belgisch', 0.21359761023546797)
('blijftdehelewinterdicht', 0.1676321829046622)


('dupontchemours', 0.34350825018029435)
('genxstof', 0.34350825018029435)
('genxtechnologie', 0.34350825018029435)
('bron', 0.1945429672952738)
('instantie', 0.1945429672952738)


('oproep', 0.22305531079004123)
('duits', 0.21723083342755461)
('spoor', 0.21187283364630521)
('arcadis', 0.1917843253687205)
('arriva', 0.1917843253687205)


('benchmark', 0.4854144063896658)
('pianoo', 0.2427072031948329)
('doelgroepenvervoer', 0.2133478866091127)
('naarvoren', 0.2133478866091127)
('aanbeveling', 0.19200534799888383)


('hout', 0.4959828294609673)
('brazili', 0.4315230485544954)
('nvwa', 0.32364228641587156)
('illegaal', 0.14682008197541346)
('beschouwen', 0.12272649367820852)


('documentaire', 0.33469652313467957)
('milieuwetgeving', 0.33469652313467957)
('bedrijfsleven', 0.23003941639001083)
('milieuovertreding', 0.19613975172897297)
('schoon', 0.18054854211698282)


('omwonend', 0.25560635118458613)
('luchthavenbesluit', 0.2526495383831023)
('maa', 0.21972388716843774)
('vrachtverkeer', 0.18948715378732672)
('zienswijze', 0.16664041369969912)


('schuldhulpverlening', 0.4198743538518928)
('afsluiten', 0.30194242785717174)
('aanmelden', 0.2799162359012619)
('energieleverancier', 0.2799162359012619)
('wanbetaler', 0.2799162359012619)


('preventief', 0.27373881065421196)
('doorvoeren', 0.2300579211143142)
('prorail', 0.20450623873533097)
('blijven', 0.19779967155883188)
('trein', 0.1947919399444232)


